,,,,,,
PREFERRED DATES,,,,PAYMENT METHODS,,
,G7 15 Day Sensor Retail (STP-FT-010),08627-0079-01,Mint,ASK,ASK,ASK
,,,Ding,ASK,ASK,ASK
,,,Damaged,ASK,ASK,ASK
,G7 15 Day Sensor Retail (STP-FT-012) ,08627-0079-01,Mint,ASK,ASK,ASK
,,,Ding,ASK,ASK,ASK
,,,Damaged,ASK,ASK,ASK
,G7 15 Day Sensor Medicare (STP-FT-013),,Mint,$110.00,$110.00,ASK
,,,Ding,$105.00,$105.00,ASK
,,,Damaged,ASK,ASK,ASK
,G7 15 Day Sensor Sample Pack (STE-FT-016),,Mint,ASK,ASK,ASK
,,,Ding,ASK,ASK,ASK
,,,Damaged,ASK,ASK,ASK
,Dexcom G7 Sensor (STP-AT-011),,Mint,$73.00,$73.00,Ask
,,,Ding,$70.00,$70.00,Ask
,,,Damaged,Ask,Ask,Ask
,Dexcom G7 Sensor (STP-AT-012), 08627-0077-01,Mint,$80.00,$80.00,Ask
,,,Ding,$77.00,$77.00,Ask
,,,Damaged,Ask,Ask,Ask
,Dexcom G7 Sensor (STP-AT-013),,Mint,$73.00,$73.00,Ask
,,,Ding,$70.00,$70.00,Ask
,,,Damaged,Ask,Ask,Ask
,Dexcom G7 Sensor (STP-AT-018), 08627-0077-01,Mint,$74.00,$74.00,Ask
,,,Ding,$71.00,$71.00,Ask
,,,Damaged,Ask,Ask,Ask
,Dexcom G7 Sensor (STE-AT-030),,Mint,$60.00,$55.00,N/A
,,,Ding,$53.00,$50.00,N/A
,,,Damaged,$35.00,$35.00,N/A
,Dexcom Stelo Twin Pack (STP-XN-002),,Mint,$55.00,$50.00,N/A
,,,Ding,$50.00,$45.00,N/A
,Dexcom G6 Transmitter (Orange Label) Stt-OM-001,,Mint,$100.00,Ask,Ask
,,,Ding,$95.00,Ask,Ask
,Dexcom G6 Transmitter Stt-OR-001,,Mint,$110.00,Ask,Ask
,,,Ding,$105.00,Ask,Ask
,Dexcom G6 Transmitter Stt-OE-002 (Full Kit) ,08627-0016-01,Mint,$150.00,Ask,Ask
,,,Ding,$140.00,Ask,Ask
,Dexcom G6 1 Count (Boxed),,Mint,$56.00,$56.00,Ask
,,,Ding,$51.00,$51.00,Ask
,Dexcom G6 Sensors STS-OE-003 ,08627-0053-03,Mint,$235.00,$230.00,Ask
,,,Ding,$225.00,$220.00,Ask
,Dexcom G6 Sensors STS-OM-003 (Orange Label) ,,Mint,$195.00,$190.00,Ask
,,,Ding,$190.00,$185.00,Ask
,Dexcom G6 Sensors STS-OR-003 ,,Mint,$235.00,$230.00,Ask
,,,Ding,$225.00,$220.00,Ask
,Dexcom G7 Receiver Retail Non-Medicare,08627-0078-01,Mint,$145.00,,
,,,Ding,$135.00,,
,Dexcom G7 Receiver Medicare,,Mint,$110.00,,
,,,Ding,$100.00,,
,Dexcom G6 Receiver OE Model # With Booklet, 08627-0091-11,Mint,$145.00,,
,,,Ding,$140.00,,
,Dexcom G6 Receiver Orange Label/No Booklet,,Mint,$90.00,,
,,,Ding,N/A,,
,,,,,,
There is a major recall on omnipod 5 boxes with the lot number beginning with PH1U affecting around 1/100 units. We will not buy units affected by this recall.,,,,,,
Check Omnipod Lot Numbers HERE,,,,,,
,Omnipod,NDC/NRC,Condition,7 months+,6 months,5 months
,Omnipod - 5 pack (G6/G7) Retail,08508-3000-21,Mint,$225.00,N/A,N/A
,,,Ding,$220.00,N/A,N/A
,,,Damaged,$175.00,Ask,Ask
,Omnipod - 5 pack (G6/Libre 2 Plus),08508-3000-42,Mint,$225.00,N/A,N/A
,,,Ding,$220.00,N/A,N/A
,,,Damaged,$175.00,Ask,Ask
,Omnipod - 5 pack G6/G7 DME,08508-3000-75,Mint,$200.00,N/A,N/A
,,,Ding,$195.00,N/A,N/A
,,,Damaged,$165.00,Ask,Ask
,Omnipod Dash (10 pack),08508-2000-10,Mint,N/A,N/A,N/A
,,,Ding,N/A,N/A,N/A
,,,Damaged,N/A,N/A,N/A
,Omnipod Dash (5 pack),08508-2000-05,Mint,$145.00,N/A,N/A
,,,Ding,$135.00,N/A,N/A
,,,Damaged,$100.00,$80.00,N/A
,Omnipod (10 pack),,Mint,N/A,N/A,N/A
,,,Ding,N/A,N/A,N/A
,Omnipod (5 Pack),,Mint,Ask,Ask,Ask
,,,Ding,Ask,Ask,Ask
,,,Damaged,,,
,,,,,,
There is a major recall on specific Libre 3 and 3 Plus sensors. Please check every serial number BEFORE purchasing. We do not buy any sensors affected by this recall.,,,,,,
Check Freestyle Serial Numbers HERE,,,,,,
,FREESTYLE LIBRE,NDC/NRC,Condition,3 months,2 months,1 month
,Libre 3 Sensor,57599-0818-00,Mint,$60.00,$48.00,N/A
,,,Ding,$55.00,$43.00,N/A
,,,Damaged,$45.00,$30.00,N/A
,Libre 3 Plus Sensor,57599-0844-00,Mint,$65.00,$58.00,N/A
,,,Ding,$58.00,$53.00,N/A
,,,Damaged,$45.00,$30.00,N/A
,Libre 2 Plus Sensor,57599-0835-00,Mint,$56.00,$30.00,N/A
,,,Ding,$51.00,$25.00,N/A
,,,Damaged,$30.00,$20.00,N/A
,Libre 2 Sensors,57599-0800-00,Mint,$56.00,$30.00,N/A
,,,Ding,$51.00,$25.00,NA
,,,Damaged,$30.00,$20.00,N/A
,Libre 14 Day Sensors,57599-0001-01,Mint,$56.00,$30.00,N/A
,,,Ding,$52.00,$25.00,N/A
,Libre 3 Reader,,Mint,$55.00,,
,,,Ding,$50.00,,
,Libre 2 Reader, 57599-0803-00,Mint,$45.00,,
,,,Ding,$40.00,,
,Libre 14 reader,57599-0002-00,Mint,$45.00,,
,,,Ding,$40.00,,
,,,,,,
,FREESTYLE LITE ,NDC/NRC,Condition,9 months+,7-8 months,6 months
,Freestyle Lite 100 Retail,99073-0708-27,Mint,$45.00,Ask,Ask
,,,Ding,$42.00,Ask,Ask
,,,Damaged,$28.00,Ask,Ask
,Freestyle Lite 50 Retail,99073-0708-22,Mint,$30.00,Ask,Ask
,,,Ding,$27.00,Ask,Ask
,Freestyle Lite 50 Institutional Use  (White Boxes),99073-0708-191,Mint,N/A,N/A,N/A
,,,Ding,NA,NA,NA
,Freestyle Lite 50 Not For Retail (White Boxes), 99073-0710-70,Mint,$25.00,$22.00,$19.00
,,,Ding,$22.00,$19.00,$10.00
,Freestyle Regular 100 Retail, 99073-01-2101,Mint,$30.00,$25.00,N/A
,,,Ding,$27.00,N/A,N/A
,Freestyle Regular 50 Retail,99073-01-2050,Mint,$20.00,$17.00,N/A
,,,Ding,$17.00,$14.00,N/A
,Freestyle Precision Neo 50,57599-1579-04,Mint,$6.00,$6.00,$6.00
,,,Ding,$3.00,$3.00,$3.00
,Freestyle Precision Neo 25,57599-1577-01,Mint,$3.00,$3.00,$3.00
,,,Ding,$3.00,$3.00,$3.00
,,,,,,
,ACCU-CHEK  ,NDC/NRC,Condition,9 months+,7-8 months,6 months
,Accu-Chek Aviva Plus 100 Retail,65702-0408-10,Mint,$64.00,$63.00,$60.00
,,,Ding,$61.00,$58.00,$55.00
,Accu-Chek Aviva Plus 50 Retail,65702-0407-10,Mint,$36.00,$35.00,$35.00
,,,Ding,$33.00,$32.00,$32.00
,Accu-Chek Smartview 100 Retail,65702-0493-10,Mint,$67.00,$65.00,$63.00
,,,Ding,$64.00,$62.00,$60.00
,Accu-Chek Smartview 50 Retail,65702-0492-10,Mint,$36.00,$34.00,$34.00
,,,Ding,$33.00,$31.00,$31.00
,Accu-Chek Guide 100 Retail,65702-0408-10,Mint,Ask,Ask,Ask
,,,Ding,Ask,Ask,Ask
,Accu-Chek Guide 50 Retail, 65702-0711-10,Mint,$14.00,$11.00,$8.00
,,,Ding,$11.00,$8.00,$5.00
,Accu-Chek Guide 50 Mail Order / Not for retail, 65702-0711-10,Mint,Ask,Ask,Ask
,,,Ding,Ask,Ask,Ask
,Accu-Chek Guide 25 Retail,,Mint,Ask,Ask,Ask
,,,Ding,Ask,Ask,Ask
,,,,,,
,RELION ,NDC/NRC,Condition,9 months+,7-8 months,6 months
,Relion Prime 100 Count,,Mint,$10.00,$7.00,$5.00
,,,Ding,$10.00,$7.00,$5.00
,Relion Prime 50 Count,,Mint,$5.00,$3.50,$2.50
,,,Ding,$5.00,$3.50,$2.50
,Relion Prime 25 Count,,Mint,$2.00,$2.00,$2.00
,,,Ding,$2.00,$2.00,$2.00
,,,,,,
,CONTOUR ,NDC/NRC,Condition,9 months+,7-8 months,6 months
,Contour 100 Retail, 0193-7090-21,Mint,$54.00,$48.00,$43.00
,,,Ding,$51.00,$45.00,$40.00
,Contour (7080) 50 Retail, 0193-7098-50,Mint,$30.00,$27.00,$15.00
,,,Ding,$27.00,$24.00,$12.00
,Contour Next 100 Retail (7312),0193-7312-21,Mint,$34.00,$32.00,$29.00
,,,Ding,$31.00,$29.00,$26.00
,,,Damaged,$18.00,Ask,Ask
,Contour Next 50 Retail (7311),0193-7311-50,Mint,$16.00,$13.00,$11.00
,,,Ding,$13.00,$10.00,$8.00
,Contour Next 50 Red Label (7309),0193-7309-50,Mint,$6.00,$4.00,$3.00
,,,Ding,$5.00,$3.00,$2.00
,Contour Next 50 Yellow Label (7308),0193-7308-50,Mint,$6.00,$4.00,$3.00
,,,Ding,$5.00,$3.00,$2.00
,Contour Next 70 Count (7278),,Mint,$10.00,$10.00,$10.00
,,,Ding,$9.00,$9.00,$9.00
,,,Damaged,$8.00,$8.00,$8.00
,Contour Next 35 Count (7277),,Mint,$5.00,$5.00,$5.00
,,,Ding,$4.00,$4.00,$4.00
,,,Damaged,$3.00,$3.00,$3.00
LANCETS,,,,,,
,LANCETS,NDC/NRC,Condition,12 months+,9 months+,7 months+
," Softclix lancets   
",,Mint,$4.00,N/A,N/A
,,,Ding,$3.00,N/A,N/A
,One Touch Delica 30g,,Mint,$5.00,N/A,N/A
,,,Ding,$4.00,N/A,N/A
,One Touch Delica 33g,,Mint,$5.00,N/A,N/A
,,,Ding,$4.00,N/A,N/A
,FastClix Lancets,,Mint,$5.00,N/A,N/A
,,,Ding,$4.00,N/A,N/A
,Microlet Lancets,,Mint,$4.00,N/A,N/A
,,,Ding,$3.00,N/A,N/A
,Freestyle Lancets,9907-3013-001,Mint,$4.00,N/A,N/A
,,,Ding,$3.00,N/A,N/A
GLUCOSE METERS,,,,,,
,Meter,NDC/NRC,Condition,9 months+,7-8 months,6 months
,"Accu-chek Aviva Plus meter  

",,Mint,$15.00,N/A,N/A
,,,Ding,$12.00,N/A,N/A
, Freestyle Freedom Lite meter,,Mint,$15.00,N/A,N/A
,,,Ding,$12.00,N/A,N/A
,Freestyle Lite Meter,9907-3070-805,Mint,$15.00,N/A,N/A
,,,Ding,$12.00,N/A,N/A
,One Touch Ultra 2 meter    ,,Mint,$15.00,N/A,N/A
,,,Ding,$12.00,N/A,N/A
,Verio Flex meter,,Mint,$15.00,N/A,N/A
,,,Ding,$12.00,N/A,N/A
,Verio Reflect meter,,Mint,$15.00,N/A,N/A
,,,Ding,$12.00,N/A,N/A
,,,,,,
,BD PEN NEEDLES,NDC/NRC,Condition,10 months+,9 months,7-8 months
,"BD 4mm  Retail 
",08290-3201-22,Mint,$25.00,ASK,ASK
,,,Ding,$22.00,ASK,ASK
,,,Damaged,$17.00,ASK,ASK
,BD 4mm NFR,,Mint,$20.00,ASK,ASK
,,,Ding,$17.00,ASK,ASK
,,,Damaged,$13.00,ASK,ASK
,BD 5mm  Retail, 08290-3201-19,Mint,$25.00,ASK,ASK
,,,Ding,$22.00,ASK,ASK
,,,Damaged,$17.00,ASK,ASK
,BD 5mm  NFR,,Mint,$20.00,ASK,ASK
,,,Ding,$17.00,ASK,ASK
,,,Damaged,$13.00,ASK,ASK
,BD 6mm  Retail,08290-3207-49,Mint,$25.00,ASK,ASK
,,,Ding,$22.00,ASK,ASK
,,,Damaged,$17.00,ASK,ASK
,BD 8mm  Retail ,08290-3201-09,Mint,$25.00,ASK,ASK
,,,Ding,$22.00,ASK,ASK
,,,Damaged,$17.00,ASK,ASK
,BD 8mm  NFR ,,Mint,$20.00,ASK,ASK
,,,Ding,$17.00,ASK,ASK
,,,Damaged,$13.00,ASK,ASK
,,,,,,
,MEDTRONIC,NDC/NRC,Condition,12 months+,9 months+,7 months+
,Mio Advance MMT-242A,,Mint,$55.00,N/A,N/A
,,,Ding,$45.00,N/A,N/A
,Medtronic 780G Pump System (Sealed),,Mint,Ask,N/A,N/A
,,,Ding,Ask,N/A,N/A
